id,"term","definition","example"
1,"Algorithm","A step-by-step method used to solve a problem or perform a task","We need a faster algorithm for sorting this data."
2,"API","A way for different programs or systems to communicate and share data or functionality","We need to connect to the payment API before we can process transactions."
3,"Array","A collection of items stored in a specific order","The list of users is stored in an array."
4,"Authentication","The process of verifying the identity of a user or system","Authentication is failing when users try to log in."
5,"Authorization","The process of determining what a user is allowed to do","The user passed authentication but failed authorization."
6,"Backend","The part of a system that handles logic, data processing, and storage behind the scenes","The issue is on the backend, the frontend is working fine."
7,"Bandwidth","The amount of data that can be transmitted over a connection in a given time","We’re hitting bandwidth limits during peak hours."
8,"Binary","A system of representing data using only 0s and 1s","The file is stored in binary format."
9,"Bug","An error or flaw that causes a program to behave incorrectly","There’s a bug causing the app to crash."
10,"Cache","A storage layer used to temporarily store frequently accessed data for faster access","We should cache this response to improve performance."
11,"Class","A blueprint used to create objects like users or products in a system","We created a class for users so every new account follows the same structure."
12,"Commit","A saved change in version control systems","I just made a commit with the latest fixes."
13,"Compiler","A tool that converts source code into a form a computer can run","The compiler is throwing an error on this line."
14,"Concurrency","Handling multiple tasks at the same time","We need better concurrency to handle more users."
15,"Cookie","Small data stored on a user's device by a website","The login state is saved in a cookie."
16,"Database","A system used to store, organize, and retrieve data efficiently","The user data isn’t saving to the database."
17,"Debugging","The process of finding and fixing errors in code","I’ve been debugging this issue all morning."
18,"Deployment","The process of releasing software to a live environment","The deployment failed last night."
19,"Dependency","An external piece of code that a project relies on","We need to update this dependency."
20,"DNS","A system that translates domain names into IP addresses","DNS is not resolving the domain correctly."
21,"Encryption","The process of converting data into a secure format","We use encryption to protect user data."
22,"Endpoint","A specific address where an API can be accessed","This endpoint returns user details."
23,"Environment","A setup where code runs, like development or production","It works in dev but not in the production environment."
24,"Exception","An error that occurs during program execution","The app throws an exception when input is invalid."
25,"Framework","A structured set of tools and rules for building applications","We’re using a framework to speed up development."
26,"Frontend","The part of a system that users interact with directly on screen","I’ll fix the frontend so the button displays correctly."
27,"Function","A named set of steps that performs a specific task when used","This function handles user input."
28,"Git","A system for tracking changes in code over time","Push your changes to Git."
29,"Index","A way to organize data for faster searching","We need an index to speed up queries."
30,"Input","Data provided to a system for processing","The input format is incorrect."
31,"Interface","A defined way for different parts of a system to interact","We need a clear interface between these components."
32,"Iteration","Repeating a set of steps multiple times","This loop handles each iteration of the data."
33,"JSON","A format used to structure and exchange data","The API returns data in JSON."
34,"Latency","The delay before a transfer of data begins","We’re seeing high latency on requests."
35,"Library","A collection of pre-written code that can be reused","We’re using a library for handling dates."
36,"Loop","A way to repeat the same steps multiple times based on a condition or count","This loop runs through all the items."
37,"Memory","The part of a system that stores data temporarily while running","The app is using too much memory."
38,"Middleware","Code that runs between request and response handling","The middleware checks authentication."
39,"Module","A separate piece of code that handles a specific part of a program","This logic is in a module for user accounts."
40,"Network","A group of connected systems that can communicate","The network connection is unstable."
41,"Node","A single unit or device in a network or system","Each server acts as a node in the system."
42,"Object","A structured collection of related data and behavior","The user is represented as an object with their details."
43,"Open Source","Software with source code that anyone can view and modify","This project is open source so anyone can contribute."
44,"Output","Data produced by a system after processing","The output of the function is shown on screen."
45,"Protocol","A set of rules for how data is transmitted","HTTP is a common protocol for websites."
46,"Query","A request for data from a database","This query is taking too long to return results."
47,"Runtime","The period when a program is running","The error only happens at runtime, not during build."
48,"Server","A system that provides data or services to other systems","The server is down right now so the app isn’t working."
49,"Stack","A collection of elements arranged in a specific order, often last-in-first-out","The error shows up in the stack trace from the stack."
50,"Variable","A named value that can be stored and changed while a program runs","This variable changes when the user updates their profile."
